2016/11/22 18:39:09 [error] 11900#0: *18 open() "/usr/local/Cellar/nginx/1.10.2_1/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.1", host: "localhost"
2016/11/22 18:39:53 [error] 11900#0: *18 open() "/usr/local/Cellar/nginx/1.10.2_1/html/rabin" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /rabin HTTP/1.1", host: "localhost"
2016/11/22 18:40:11 [error] 11900#0: *18 open() "/usr/local/Cellar/nginx/1.10.2_1/html/rabin" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /rabin HTTP/1.1", host: "localhost"
2016/11/22 18:40:21 [error] 11900#0: *18 open() "/usr/local/Cellar/nginx/1.10.2_1/html/rabin" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /rabin HTTP/1.1", host: "localhost"
2016/11/22 18:40:44 [error] 12315#0: *24 open() "/usr/local/Cellar/nginx/1.10.2_1/html/rabin" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /rabin HTTP/1.1", host: "localhost"
2016/11/22 18:40:46 [error] 12315#0: *24 open() "/usr/local/Cellar/nginx/1.10.2_1/html/rabin" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /rabin HTTP/1.1", host: "localhost"
2016/11/22 18:46:50 [error] 13690#0: *33 open() "/Users/amit/Projects/wps/wp-admin/css/install-rtl.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/css/install-rtl.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:46:50 [error] 13690#0: *33 open() "/Users/amit/Projects/wps/wp-admin/images/wordpress-logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/images/wordpress-logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:46:51 [error] 13690#0: *33 open() "/Users/amit/Projects/wps/wp-admin/css/install.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/css/install.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:46:51 [error] 13690#0: *34 open() "/Users/amit/Projects/wps/wp-admin/css/install-rtl.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/css/install-rtl.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:46:51 [error] 13690#0: *34 open() "/Users/amit/Projects/wps/wp-admin/images/wordpress-logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/images/wordpress-logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:47:01 [error] 13854#0: *35 open() "/Users/amit/Projects/wps/wp-admin/css/install.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/css/install.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:47:01 [error] 13854#0: *36 open() "/Users/amit/Projects/wps/wp-admin/css/install-rtl.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/css/install-rtl.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:47:01 [error] 13854#0: *35 open() "/Users/amit/Projects/wps/wp-admin/images/wordpress-logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/images/wordpress-logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:47:02 [error] 13854#0: *35 open() "/Users/amit/Projects/wps/wp-admin/css/install.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/css/install.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:47:02 [error] 13854#0: *36 open() "/Users/amit/Projects/wps/wp-admin/css/install-rtl.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/css/install-rtl.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:47:02 [error] 13854#0: *36 open() "/Users/amit/Projects/wps/wp-admin/images/wordpress-logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/images/wordpress-logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:47:05 [error] 13854#0: *41 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /rabin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8080"
2016/11/22 18:47:06 [error] 13854#0: *41 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /rabin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8080"
2016/11/22 18:47:14 [error] 13854#0: *42 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /rabin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8080"
2016/11/22 19:08:17 [error] 18150#0: *48 open() "/Users/amit/Projects/wps/wp-admin/css/install.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /wp-admin/css/install.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 19:08:17 [error] 18150#0: *49 open() "/Users/amit/Projects/wps/wp-admin/css/install-rtl.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /wp-admin/css/install-rtl.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 19:08:17 [error] 18150#0: *49 open() "/Users/amit/Projects/wps/wp-admin/images/wordpress-logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /wp-admin/images/wordpress-logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 19:08:19 [error] 18150#0: *49 open() "/Users/amit/Projects/wps/wp-admin/css/install.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /wp-admin/css/install.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 19:08:19 [error] 18150#0: *48 open() "/Users/amit/Projects/wps/wp-admin/css/install-rtl.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /wp-admin/css/install-rtl.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 19:08:19 [error] 18150#0: *48 open() "/Users/amit/Projects/wps/wp-admin/images/wordpress-logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /wp-admin/images/wordpress-logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 19:08:33 [error] 18150#0: *54 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /rabin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9001", host: "localhost:8080"
